,Rk,School,Conference,AP Rank,Year,Wins,Loses,Ties,OSRS,DSRS,SRS,Offensive Scoring,Defensive Scoring,Offensive Passing,Offensive Rushing,Defensive Rushing
0,1,Minnesota,Western,,1935,8,0,0,13.75,7.04,20.79,28.25,0.99,,,
1,2,Ohio State,Western,,1935,7,1,0,14.23,6.02,20.25,35.82,2.17,,,
2,3,SMU,SWC,,1935,12,1,0,8.38,10.40,18.78,25.04,-2.04,,,
3,4,Duke,Southern,,1935,8,2,0,9.63,8.02,17.65,26.32,-0.76,,,
4,5,LSU,SEC,,1935,9,2,0,6.99,10.65,17.64,25.19,-4.48,,,
5,6,Auburn,SEC,,1935,8,2,0,8.19,9.34,17.53,24.85,-3.05,,,
6,7,Texas Christian,SWC,,1935,12,1,0,10.81,6.65,17.46,25.05,1.30,,,
7,8,North Carolina,Southern,,1935,8,1,0,11.37,6.08,17.44,34.03,2.78,,,
8,9,Princeton,Ind,,1935,9,0,0,10.10,7.20,17.30,27.08,-0.84,,,
9,10,Stanford,PCC,,1935,8,1,0,5.34,11.65,16.98,19.22,-4.06,,,
10,11,Alabama,SEC,,1935,6,2,1,7.74,8.39,16.14,25.38,-1.71,,,
11,12,Notre Dame,Ind,,1935,7,1,1,8.74,7.32,16.06,21.97,-0.18,,,
12,13,Michigan State,Ind,,1935,6,2,0,9.03,5.64,14.66,26.80,2.71,,,
13,14,Marquette,Ind,,1935,7,1,0,10.85,3.40,14.26,25.76,4.21,,,
14,15,California,PCC,,1935,9,1,0,4.39,9.79,14.18,19.98,-0.89,,,
15,16,UCLA,PCC,,1935,8,2,0,8.69,4.62,13.31,22.32,3.47,,,
16,17,Nebraska,Big 6,,1935,6,2,1,8.40,4.85,13.25,21.42,3.68,,,
17,18,Rice,SWC,,1935,8,3,0,8.51,4.09,12.60,23.59,3.73,,,
18,19,Pitt,Ind,,1935,7,1,2,3.44,8.58,12.03,16.87,-0.35,,,
19,20,Saint Mary's (CA),Ind,,1935,5,2,2,3.82,7.83,11.64,16.95,0.75,,,
20,21,Georgia,SEC,,1935,6,4,0,6.84,4.63,11.47,22.79,1.81,,,
21,22,Washington,PCC,,1935,5,3,0,5.46,5.96,11.42,18.70,1.81,,,
22,23,Vanderbilt,SEC,,1935,7,3,0,6.31,5.06,11.37,21.80,1.41,,,
23,24,Iowa,Western,,1935,4,2,2,4.62,6.72,11.34,19.97,1.53,,,
24,25,Kentucky,SEC,,1935,5,4,0,6.22,4.76,10.98,24.56,1.09,,,
25,26,Temple,Ind,,1935,7,3,0,6.13,4.64,10.78,21.42,2.87,,,
26,27,Army,Ind,,1935,6,2,1,5.75,4.71,10.47,22.98,3.06,,,
27,28,Arizona,BIAA,,1935,7,2,0,6.37,3.27,9.64,23.72,5.72,,,
28,29,Northwestern,Western,,1935,4,3,1,4.38,5.00,9.37,17.38,2.30,,,
29,30,Furman,Ind,,1935,8,1,0,5.78,3.56,9.35,24.78,5.41,,,
30,31,Mississippi State,SEC,,1935,8,3,0,5.33,3.75,9.07,19.65,2.78,,,
31,32,Fordham,Ind,,1935,6,1,2,2.26,6.19,8.46,15.49,2.00,,,
32,33,New York University,Ind,,1935,7,1,0,8.23,0.19,8.42,24.13,9.80,,,
33,34,Villanova,Ind,,1935,7,2,0,7.27,1.04,8.31,20.45,7.26,,,
34,35,Oklahoma,Big 6,,1935,6,3,0,1.66,6.16,7.83,13.76,2.21,,,
35,36,Dartmouth,Ind,,1935,8,2,0,5.29,2.47,7.76,27.88,5.74,,,
36,37,Arkansas,SWC,,1935,5,5,0,5.05,2.48,7.53,20.01,4.95,,,
37,38,Navy,Ind,,1935,5,4,0,5.32,2.03,7.35,19.87,4.76,,,
38,39,Purdue,Western,,1935,4,4,0,1.23,6.11,7.35,14.75,2.53,,,
39,40,Pennsylvania,Ind,,1935,4,4,0,6.29,1.06,7.34,26.41,6.45,,,
40,41,Georgia Tech,SEC,,1935,5,5,0,6.37,0.90,7.27,23.01,5.09,,,
41,42,San Francisco,Ind,,1935,5,3,0,3.37,3.78,7.15,15.37,5.37,,,
42,43,Tulane,SEC,,1935,6,4,0,4.44,2.70,7.14,20.28,5.69,,,
43,44,Ole Miss,SEC,,1935,9,3,0,5.30,1.59,6.88,24.35,6.19,,,
44,45,Santa Clara,Ind,,1935,3,6,0,2.35,4.54,6.88,14.64,2.86,,,
