ranking,name,highSchool,position,height,weight,stars,rating,college
1,Antwuan Jackson Jr.,"Blinn College (Ellenwood,  GA)",DT,6-2.25,305,4,0.929,Ohio State
2,Saivion Smith,"Mississippi Gulf Coast C.C. (Bradenton,  FL)",CB,1-Jun,175,4,0.929,Alabama
3,Lucas Krull,"Jefferson College (Shawnee,  KS)",TE,7-Jun,255,4,0.92,Florida
4,Tramonda Moore,"Independence C.C. (Oklahoma City,  OK)",OT,6-Jun,330,4,0.9128,Oklahoma
5,Travez Moore,"Copiah-Lincoln C.C. (Bastrop,  LA)",WDE,6-Jun,250,4,0.9074,LSU
6,Devonte Wyatt,"Hutchinson C.C. (Decatur,  GA)",DT,3-Jun,300,4,0.9067,Georgia
7,Badara Traore,"ASA College (New York) (Hyde Park,  MA)",OT,7-Jun,310,4,0.902,LSU
8,Teair Tart-Spencer,"East Mississippi C.C. (Scooba,  MS)",DT,4-Jun,295,4,0.9004,FIU
9,Tayland Humphrey,"Hutchinson C.C. (Spring,  TX)",DT,5-Jun,350,4,0.8992,FIU
10,Dominick Wood-Anderson,"Arizona Western College (Spring Valley,  CA)",TE,5-Jun,245,4,0.8979,Tennessee
11,Jeremy Webb,"ASA College (New York) (Lincolnshire,  IL)",CB,3-Jun,195,4,0.8979,Virginia Tech
12,Caleb Tremblay,"American River C.C. (Sacramento,  CA)",DT,5-Jun,275,4,0.8967,USC
13,Anthony McKinney,"Iowa Western C.C. (Machesney Park,  IL)",OT,8-Jun,330,4,0.8967,TCU
14,Jordan Allen,"City College of San Francisco (Fairfield,  CA)",WDE,4-Jun,230,4,0.8967,Tennessee
15,Daquan Newkirk,"Mississippi Gulf Coast C.C. (Orlando,  FL)",DT,3-Jun,282,4,0.8959,Auburn
16,Stephen Guidry,"Hinds C.C. (Morganza,  LA)",WR,4-Jun,190,4,0.894,Mississippi State
17,Davion Taylor,"Coahoma C.C. (Clarksdale,  MS)",OLB,2-Jun,215,4,0.8939,Colorado
18,Emmit Gooden,"Independence C.C. (Brownsville,  TN)",DT,4-Jun,305,4,0.8933,Tennessee
19,Marlon Character Jr.,"Northwest Mississippi C.C. (Atlanta,  GA)",S,Jun-00,190,4,0.8913,Louisville
20,Noah Jefferson,"Arizona Western College (Las Vegas,  NV)",DT,5-Jun,330,3,0.8892,Florida Atlantic
21,Mikey Grandy,"College of San Mateo (Palo Alto,  CA)",OT,5-Jun,305,3,0.8871,Texas
22,Noah Banks,"Iowa Western C.C. (Pensacola,  FL)",OT,7-Jun,305,3,0.8871,Florida
23,Jahmir Johnson,"Arizona Western College (Philadelphia,  PA)",OT,5-Jun,273,3,0.8864,Tennessee
24,Jaron Woodyard,"Arizona Western College (Bethesda,  MD)",WR,10-May,176,3,0.8859,Nebraska
25,Victor Viramontes,"Riverside C.C. (Norco,  CA)",DUAL,2-Jun,230,3,0.8851,Minnesota
26,Malik Henry,"Independence C.C. (Long Beach,  CA)",DUAL,2-Jun,185,3,0.885,uncommitted
27,Greg Bell,"Arizona Western College (Chula Vista,  CA)",RB,Jun-00,200,3,0.8846,Nebraska
28,Dorian Gerald,"College of the Canyons (Florence,  SC)",SDE,3-Jun,260,3,0.884,Arkansas
29,TJ Bradley,"Lackawanna C.C. (Leesburg,  VA)",OT,8-Jun,290,3,0.8838,Maryland
30,Will Honas,"Butler C.C. (El Dorado,  KS)",ILB,2-Jun,225,3,0.8818,Nebraska
31,Michael Boykin,"Gulf Coast C.C. (Carrollton,  GA)",SDE,6-Jun,285,3,0.8818,Louisville
32,Benjie Franklin,"Navarro College (Houston,  TX)",CB,11-May,185,3,0.881,uncommitted
33,Byron Cowart,"Hillsborough C.C. (Seffner,  FL)",WDE,3-Jun,277,3,0.88,Maryland
34,Deontai Williams,"Jones County J.C. (Jacksonville,  FL)",S,Jun-00,175,3,0.8784,Nebraska
35,Justin Eichman,"Butler County (KS) (El Dorado,  KS)",OT,9-Jun,340,3,0.8778,Kansas State
36,Nero Nelson,"Copiah-Lincoln C.C. (Hollandale,  MS)",WR,Jun-00,180,3,0.8772,Florida Atlantic
37,Joshua Norwood,"Northwest Mississippi C.C. (Valdosta,  GA)",CB,10-May,175,3,0.8772,West Virginia
38,Jace Sternberger,"Northeastern Oklahoma A&M (Kingfisher,  OK)",TE,4-Jun,240,3,0.8765,Texas A&M
39,Johncarlo Valentin,"ASA College (New York) (Philadelphia,  PA)",OG,5-Jun,330,3,0.8765,Baylor
40,Lindsey Scott,"East Mississippi C.C. (Zachary,  LA)",PRO,11-May,210,3,0.8764,Missouri
41,Terry Wilson,"Garden City C.C.  (Oklahoma City,  OK)",DUAL,3-Jun,195,3,0.8752,Kentucky
42,Dantrell Barkley,"Independence C.C. (Independence,  KS)",DT,4-Jun,285,3,0.8743,Charlotte
43,Dominique Harrison,"Blinn College (Humble,  TX)",CB,Jun-00,185,3,0.8731,Arizona State
44,Jared Goldwire,"Fort Scott C.C. (Kent,  WA)",DT,7-Jun,280,3,0.873,Louisville
45,Antar Thompson,"Highland Community College (Saint Louis,  MO)",DT,5-Jun,310,3,0.873,Missouri
46,Daviyon Nixon,"Iowa Western C.C. (Kenosha,  WI)",DT,6-2.5,272,3,0.873,Iowa
47,Tareke Lewis,"Riverside C.C. (Palatka,  FL)",CB,1-Jun,170,3,0.8727,Utah
48,Kirk Merritt,"East Mississippi C.C. (Destrehan,  LA)",WR,11-May,205,3,0.8722,Arkansas State
49,Scottie Phillips,"Jones County J.C. (Ellisville,  MS)",RB,9-May,205,3,0.8719,Ole Miss
50,Marcel Southall,"Tyler J.C.  (Duncanville,  TX)",DT,2-Jun,285,3,0.87,Florida Atlantic
51,Mekhi Sargent,"Iowa Western C.C. (Key West,  FL)",RB,8-May,190,3,0.87,Iowa
52,Ronnie Jamison,"Highland C.C. (Irmo,  SC)",WR,2-Jun,190,3,0.8698,uncommitted
53,Jabari Ellis,"Georgia Military College (Santee,  SC)",DT,2-Jun,280,3,0.8697,South Carolina
54,Michael Scott,"Trinity Valley C.C. (Irving,  TX)",WDE,5-Jun,240,3,0.869,Oklahoma State
55,Jason Dickson,"Diablo Valley College (Pleasant Hill,  CA)",OT,7-Jun,309,3,0.869,Minnesota
56,Levon Livingston,"Navarro College (Washington,  DC)",OT,7-Jun,275,3,0.8689,SMU
57,Vernon Dasher,"Coffeyville C.C. (Baxley,  GA)",OLB,3-Jun,215,3,0.8689,Ole Miss
58,Nigel Kilby,"Garden City C.C.  (Fort Wayne,  IN)",TE,8-Jun,250,3,0.8669,Southern Illinois
59,Mohamed Diallo,"Arizona Western College (Toronto,  ON)",DT,4-Jun,320,3,0.8665,Texas A&M
60,Bryant Pirtle,"Pima C.C. (Louisville,  KY)",WDE,3-Jun,235,3,0.8657,Utah
61,Damien Lewis,"Northwest Mississippi C.C. (Senatobia,  MS)",OG,3-Jun,320,3,0.8656,LSU
62,Vonte Davis,"Blinn College (Rosenberg,  TX)",CB,1-Jun,180,3,0.8643,Utah
63,Kai Locksley,"Iowa Western C.C. (Baltimore,  MD)",DUAL,4-Jun,205,3,0.8643,UTEP
64,Hal Northern,"Northwest Mississippi C.C. (Senatobia,  MS)",DT,3-Jun,293,3,0.8641,Ole Miss
65,Thomas Lopez,"ASA College (New York) (Middletown,  NJ)",OT,5-Jun,300,3,0.8635,Ball State
66,Joe Babros,"Saddleback College (Mission Viejo,  CA)",SDE,5-Jun,250,3,0.8623,N.C. State
67,DuWayne Johnson,"Arizona Western College (Washington,  DC)",CB,2-Jun,172,3,0.8622,Syracuse
68,Najee Stevens-McKenzie,"ASA College (New York) (Bedford,  OH)",WDE,4-Jun,215,3,0.8609,Kansas
69,Keith Washington,"Copiah-Lincoln C.C. (Prattville,  AL)",CB,2-Jun,170,3,0.8602,West Virginia
70,Deven Boston,"Santa Ana College (Buena Park,  CA)",RB,Jun-00,225,3,0.86,UTSA
71,Chase Brown,"Lackawanna C.C. (Ashburn,  VA)",OT,5-Jun,315,3,0.8597,Pittsburgh
72,Pro Wells,"Northwest Mississippi C.C. (Saint Petersburg,  FL)",TE,4-Jun,235,3,0.859,TCU
73,Woody Barrett,"Copiah-Lincoln C.C. (Orlando,  FL)",DUAL,2-Jun,225,3,0.8589,Kent State
74,Greg Eisworth,"Trinity Valley C.C. (Grand Prairie,  TX)",S,Jun-00,195,3,0.8582,Iowa State
75,Willie Allen,"Tyler J.C.  (New Orleans,  LA)",OT,6-7.5,300,3,0.8582,Louisiana Tech
76,Cassius Peat,"Scottsdale C.C. (Scottsdale,  AZ)",SDE,4-Jun,280,3,0.8578,Virginia
77,Isaiah Johnson,"Northeastern Oklahoma A&M (Warner Robins,  GA)",DT,5-Jun,300,3,0.857,Southern Miss
78,Lone Toailoa,"Mt. San Antonio College (Walnut,  CA)",WDE,3-Jun,260,3,0.8569,California
79,Chris Stamps,"Northwest Mississippi C.C. (Vicksburg,  MS)",CB,1-Jun,180,3,0.8556,Middle Tennessee State
80,Daeqwan Bailey,"Pasadena City College (Raleigh,  NC)",DT,3-Jun,310,3,0.8556,uncommitted
81,Terence Williams,"Iowa Western C.C. (Riverview,  FL)",CB,1-Jun,185,3,0.8556,uncommitted
82,Antonio Gibson,"East Central C.C. (Mcdonough,  GA)",WR,2-Jun,220,3,0.8552,Memphis
83,Bryce Perkins,"Arizona Western College (Chandler,  AZ)",DUAL,2-Jun,215,3,0.855,Virginia
84,Haki Woods,"Pima C.C. (Tucson,  AZ)",CB,3-Jun,192,3,0.8549,Oregon
85,Darrion Jones,"Los Angeles Harbor College (Wilmington,  CA)",TE,6-Jun,245,3,0.8548,Colorado
86,Delrick Abrams Jr.,"Independence C.C. (Angie,  LA)",CB,3-Jun,180,3,0.8536,Colorado
87,Azur Kamara,"Arizona Western College (Phoenix,  AZ)",WDE,6-Jun,230,3,0.8535,Kansas
